name;type;carrier;tech;bus;capacity;storage_capacity;expandable;capacity_cost;storage_capacity_cost;efficiency;loss_rate
heat_central-tes;storage;heat;tes;heat_central;60;420;False;0;1800;1;0.001
heat_decentral-tes;storage;heat;tes;heat_decentral;0;0;True;0;1000;1;0.001
